Estimate,Est.Error,Q25,Q75,iso3c,country,gdpcap,hcecap,study_pop,hce_prop_gdp,outcome
9.33358863715498,6.929426775421639,4.48533376959395,12.246402751427135,COD,"Congo, Dem. Rep.",537.269316970327,24.38615036,adult,0.04538906203971225,outpatient
9.842857808175134,8.84830651168284,4.296437049667584,12.461945517581455,COG,"Congo, Rep.",1677.08549205924,50.60568619,adult,0.030174780253964802,outpatient
30.80669764017327,26.750330853490492,13.270013652087117,40.069735505250435,CRI,Costa Rica,14318.8389652137,978.84155273,adult,0.06836039954831571,outpatient
12.131308052806132,10.80754744927998,5.150092588402011,15.578255077321469,CIV,Cote d'Ivoire,2302.7469807991,86.15213013,adult,0.037412764341179794,outpatient
37.68580787351415,30.998958021455746,17.282755377900408,48.480526735820895,HRV,Croatia,17147.1660226623,1344.19006348,adult,0.07839138325852045,outpatient
52.06023263933048,43.392725969707556,23.506380659612805,66.14349320708446,CYP,Cyprus,32341.302734375,2864.15649414,adult,0.08856033158787197,outpatient
78.44567125631815,58.48886569240145,38.05522855608166,102.54328308006913,CZE,Czechia,20245.6557955904,2431.08496094,adult,0.12007933877199978,outpatient
80.27492591810568,66.18314306671655,36.60310299491081,103.95144262624281,DNK,Denmark,61295.9818623394,6456.08398438,adult,0.10532638173378629,outpatient
11.287102041327898,11.420401935785824,4.417581627376795,14.235324352755326,DJI,Djibouti,3078.28598659063,81.80969238,adult,0.026576378132627212,outpatient
26.894853785195586,22.219503128007275,12.20144549616591,34.6886995242941,DMA,Dominica,8399.96601368496,574.41748047,adult,0.0683833100674666,outpatient
21.344102517017156,19.568429964171134,8.90276531137588,26.96001226796764,DOM,Dominican Republic,8857.40278693789,462.26287842,adult,0.05218943854531536,outpatient
30.091729049754996,22.281511712871918,14.758836461897062,38.993197746874586,ECU,Ecuador,6238.15868442687,492.83575439,adult,0.07900340137552611,outpatient
14.982322637232684,13.96823323748337,6.3011940722854485,19.05579977663757,EGY,"Egypt, Arab Rep.",4111.24924442966,170.97909546,adult,0.04158811234606121,outpatient
47.66215669627001,34.64935287243014,23.711705644021343,62.38559163748576,SLV,El Salvador,4481.19664108356,501.24411011,adult,0.11185496871853372,outpatient
14.750158796985398,14.775028568979847,5.915436528685754,18.32743198141346,GNQ,Equatorial Guinea,5118.21986148331,190.09381104,adult,0.03714061063897106,outpatient
54.28482022341342,43.025031816740885,25.687633904111905,69.78179823344165,EST,Estonia,20123.422189306,1998.88549805,adult,0.09933129063466396,outpatient
24.747040146524842,18.4200476435721,11.846751652565134,32.534233240804255,SWZ,Eswatini,3726.43642993545,283.88345337,adult,0.07618094624920717,outpatient
8.578391554099678,7.407354142914543,3.766467744895533,10.859241313500878,ETH,Ethiopia,875.373675519289,27.0685215,adult,0.03092224755781286,outpatient
15.643801045607086,16.1493654816724,6.058823682014037,19.62745247898474,FJI,Fiji,5736.82889741943,217.15068054,adult,0.03785204063479736,outpatient
76.45736318152845,61.10726666580401,36.050524210583376,99.29986708943689,FIN,Finland,45588.5130643088,4902.0390625,adult,0.10752794362003006,outpatient
98.50413738850699,76.39949812521132,47.36930978721374,126.73143062594129,FRA,France,39117.4845009362,4865.17822266,adult,0.12437349396900921,outpatient
15.705736736338368,17.011433378874294,6.102653037752757,19.685935656284563,GAB,Gabon,6541.69710787282,247.09622192,adult,0.03777249509498444,outpatient
9.181171455264375,6.836713654184277,4.389642797024566,12.114107507369525,GMB,"Gambia, The",727.838723280227,28.89956109,adult,0.03970599552570564,outpatient
28.333647410691185,22.06094466454463,13.365305121654249,36.84730171051003,GEO,Georgia,6180.62059946106,477.70956421,adult,0.07729152057184281,outpatient
132.8316251882592,100.94870899777392,64.05716453285093,173.79497512977107,DEU,Germany,44336.7775157399,6182.34375,adult,0.1394405298807569,outpatient
12.216550808298559,10.696590111985989,5.318334291628339,15.770512219171737,GHA,Ghana,2086.80608066,82.32108307,adult,0.039448362659535705,outpatient
42.67769518585853,35.99255899838243,18.951330358620627,55.18516849340304,GRC,Greece,21139.1916750925,1768.11071777,adult,0.08364135890083711,outpatient
22.28303447023802,21.11484864141916,9.314535244568383,28.33553246332371,GRD,Grenada,9727.65202554404,521.23730469,adult,0.05358305409375997,outpatient
31.88997927539607,23.25855611620284,15.621405102454371,41.724924190845975,GTM,Guatemala,4470.75416315328,396.07998657,adult,0.0885935509123677,outpatient
